DESC,BED,BATH,PRICE,LOCATION
Exquisite 5bedroom House+boys Quarters For Rent Spintex,5,5,"2800","Accra, Houses"
2 bedrooms apartment for rent at Santa Maria,2,2,"1200","Accra, Apartments"
Hot 3bedroom Semi Detached House For Rent Spintex Manet,3,3,750,"Accra, Houses"
Marvelous 3bedroom Apartmnt For Rent Spintex-greda,3,1,"1000","Accra, Apartments"
2bedroom self contain rent@OBEYEYIE,2,3,800,"Accra, Apartments"
Four Bedroom house with a boys quarters for rent at Spintex,4,5,"Accra, Houses"
A Newly Built 3bedroom House In Botwe School Junction For Rent,3,3,"2500","Accra, Houses"
Newly Built 2bedroom House In Botwe School Junction For Rent,2,3,"2500","Accra, Houses"
Executive 3bedrooms In Botwe School Junction For Rent,3,3,"3000","Accra, Apartments"
3 bed apartment for rent at Awoshie palastwon station,3,2,"1000","Accra, Apartments"
3bedroom house for rent at lashibi Emef Estate,3,4,"Accra, Houses"
CHAMBER AND HALL SELF CONTAIN FOR RENT LOCATED AT ADENTA-PANTANG P&T,1,1,"Accra, Apartments"
New And Modern Chamber&hall Apartment For Rent Spintex,1,1,700,"Accra, Apartments"
An Executive 3bedroom Apartment With 3washroom Up For Rent Spintex 1year,3,3,"1000","Accra, Apartments"
Super Clean 2bedroom Apartment With 2washroom Up For Rent Spintex 1year,2,2,"1200","Accra, Apartments"
Single room at Atimatim-Taabuo for rent,1,1,100,"Kumasi, Apartments"
Executive 3-bedroom house for rent at Tabora,3,3,"Accra, Houses"
For Rent 4bed 1boy quarter Airport Hills,4,5,"17200","Accra, Houses"
Beautiful 3-bedroom house for rent at Pokuase,3,3,"Accra, Houses"
5 bed swimming pool house for rent@East Legon,5,5,"17000","Accra, Houses"
5 bedrooms house for rent at Amasaman Satlite 1yr,5,5,"1800","Accra, Houses"
Four bedrooms house for rent at Pokuase 1yr,4,4,"1800","Accra, Houses"
EXECUTIVE SINGLE ROOM SELF CONTAINED FOR RENT East Legon,1,1,"Accra, Apartments"
Two bedrooms apartment for rent at Ablekuma Oduma 1yr,2,2,650,"Accra, Apartments"
EXECUTIVE THREE BEDROOMS AT EAST LEGON FOR RENT,3,2,"Accra, Apartments"
EXECUTIVE TWO BEDROOMS AT EAST LEGON FOR RENT,2,2,"Accra, Apartments"
4 bed house for rent@Ayigbetown new weija,4,2,"Accra, Houses"
container shop for rent Ofanko-Asofa,40 sqft,"Accra, Commercial Property"
An executive 4 bedroom self compound for rent at Oyarifa,4,4,"3000","Accra, Houses"
For rent 4 bedms house in East Legon,4,5,"15000","Accra, Houses"
"For rent,5 bdrms hse with swimming pool @Cantonment",4,5,"30000","Accra, Houses"
Three bed room flat at Maase-Adubinso for rent,3,1,300,"Kumasi, Apartments"
