Name,What,Region,Country,Lat,Long,Elev
Nuaso,3,5,6.1510164,-0.025557,830,88715
Obo Kwahu,3,5,6.6077206,-0.782776,830,88715
Oboo,3,5,6.6077206,-0.782776,830,88715
Odumase Krobo,3,5,5.9596067,-0.0295255,830,88715
Ofoase,3,5,6.1654942,-1.14923,830,88715
Old Tafo,3,5,6.232936,-0.4023314,830,88715
Oseim,3,5,6.258052,-0.4390885,830,88715
Osino,3,5,6.3467555,-0.49589,830,88715
Otumi,3,5,6.2213083,-0.9210397,830,88715
Pakro,3,5,5.9048995,-0.3267979,830,88715
Pepease,3,5,6.6930163,-0.746255,830,88715
Pokrom,3,5,5.8284149,-0.2310133,830,88715
Senchi,3,5,6.1983541,-0.0587132,830,88715
Somanya,3,5,6.0978194,-0.0338819,830,88715
Suhum,3,5,6.0359619,-0.4716827,830,88715
Tease,3,5,6.3501724,-0.6640436,830,88715
Yilo Krobo,3,5,6.1168768,-0.3408909,830,88715
Ada,4,6,9.74,-0.94,830,5599
Adayiri,4,6,9.73,-1.25,830,1043
Addah,4,6,9.74,-0.94,830,5599
Addahyiri,4,6,9.73,-1.25,830,1043
Afa usif yeri,4,6,10.44,-0.88,830,2682
Baliga,4,6,10.03,-0.38,830,2235
Balliga,4,6,10.03,-0.38,830,2235
Basampa,4,6,9.75,-1.38,830,1043
Basempa,4,6,9.75,-1.38,830,1043
Ben,4,6,10.56,-0.02,997,6500
Bende,4,6,10.56,-0.02,997,6500
Bilige,4,6,9.67,-1.60,830,1043
Bimsi,2,6,10.40,-0.79,830,12397
Binde,4,6,10.56,-0.02,997,6500
Bongo,4,6,10.34,-0.27,830,6438
Bongo-Da,4,6,10.34,-0.27,830,6438
Bungeli,4,6,9.70,-1.87,997,1177
Bungweli,4,6,9.70,-1.87,997,1177
Bunkpurk,4,6,10.52,0.10,830,7326
Bunkpurugu,4,6,10.52,0.10,830,7326
Chereponi,4,6,10.14,0.29,830,4023
Chiakasi,4,6,10.02,0.31,830,3976
Chopowa,4,6,9.71,0.32,830,3782
Daboya,4,6,9.53,-1.38,387,1043
Diari,4,6,9.87,-0.87,830,5215
Djereponi,4,6,10.14,0.29,830,4023
Du,4,6,10.50,-0.99,830,3828
Dugu,4,6,10.50,-0.99,830,3828
Duu,4,6,10.50,-0.99,830,3828
Ga,4,6,9.81,-0.45,830,2235
Gaa,4,6,9.81,-0.45,830,2235
Gambaga,2,6,10.53,-0.44,1026,18741
Gariwe,4,6,9.62,-0.43,830,2246
Gbalga,4,6,10.03,-0.38,830,2235
Gbaliga,4,6,10.03,-0.38,830,2235
Gbandaa,4,6,10.34,-0.27,830,6438
Gbangdaa,4,6,10.34,-0.27,830,6438
Gbankurugu,4,6,10.52,0.10,830,7326
Gbasimpa,4,6,9.75,-1.38,830,1043
Gbasinkpa,4,6,9.75,-1.38,830,1043
Gbemsi,2,6,10.40,-0.79,830,12397
Gbimsi,2,6,10.40,-0.79,830,12397
Gbongo,4,6,10.34,-0.27,830,6438
Giadema,4,6,10.34,-1.16,830,2688
Guschiegu,2,6,9.92,-0.22,830,19434
Guschiocho,2,6,9.92,-0.22,830,19434
Gushegu,2,6,9.92,-0.22,830,19434
Gushei,4,6,9.81,-0.86,830,5215
Gushiago,2,6,9.92,-0.22,830,19434
Gushie,4,6,9.81,-0.86,830,5215
Gushiego,2,6,9.92,-0.22,830,19434
Gushiokho,2,6,9.92,-0.22,830,19434
Isiasi,4,6,10.28,-1.44,830,2682
Jadima,4,6,10.34,-1.16,830,2688
Jadma,4,6,10.34,-1.16,830,2688
Janga,4,6,10.03,-0.98,830,2786
Jawani,4,6,10.38,-0.37,830,6316
Jereponi,4,6,10.14,0.29,830,4023
Jinfronu,4,6,9.54,-1.60,830,1043
Jinfurono,4,6,9.54,-1.60,830,1043
Jogu,4,6,10.30,0.35,830,3708
Jowani,4,6,10.38,-0.37,830,6316
Kago,4,6,10.48,0.11,830,6060
Kambonaba,4,6,10.41,-0.56,830,6408
Karaga,4,6,9.92,-0.43,830,2235
Karamenga,4,6,10.56,-0.83,830,8179
Katane,4,6,10.16,-0.08,830,2235
Katani,4,6,10.16,-0.08,830,2235
Kateni,4,6,10.16,-0.08,830,2235
Kawkawbila,4,6,10.12,-0.81,830,3939
Kawkuwbila,4,6,10.12,-0.81,830,3939
Kbolebi,4,6,9.52,-2.00,830,1100
Kengau,4,6,9.59,0.36,305,3596
Kengua,4,6,9.59,0.36,305,3596
Kombenaba,4,6,10.41,-0.56,830,6408
Konkori,4,6,9.63,-1.79,1069,1043
Koudani,4,6,10.20,0.34,413,6343
Kpata,4,6,10.34,0.19,830,4186
Kpatani,4,6,10.34,0.19,830,4186
Kpatenga,4,6,9.77,-0.27,830,2235
Kpatinga,4,6,9.77,-0.27,830,2235
Kubore,4,6,10.14,-1.29,830,2682
Kubori,4,6,10.14,-1.29,830,2682
Kudani,4,6,10.20,0.34,413,6343
Kughan,4,6,9.59,0.36,305,3596
Kugnani,4,6,9.59,0.36,305,3596
Kuinkwa,4,6,10.41,-1.13,830,2805
Kukobila,4,6,10.12,-0.81,830,3939
Kukubila,4,6,10.12,-0.81,830,3939
Kukwa,4,6,10.41,-1.13,830,2805
Kumbungu,4,6,9.56,-0.95,830,6694
Kunchalum,4,6,10.15,-1.15,830,2682
Kunchalun,4,6,10.15,-1.15,830,2682
Kunkwa,4,6,10.41,-1.13,830,2805
Langbinsi,4,6,10.41,-0.56,830,6408
Langwinga,4,6,10.41,-0.56,830,6408
Langwisa,4,6,10.41,-0.56,830,6408
Lare,4,6,10.48,0.11,830,6060
Larekago,4,6,10.48,0.11,830,6060
Lawgawre,4,6,10.28,-0.83,830,2973
Logri Number 2,4,6,10.28,-0.83,830,2973
Luari,4,6,10.28,-0.83,830,2973
Lumbungu,4,6,9.65,-1.21,830,5594
Lungbunga,4,6,9.65,-1.21,830,5594
Lungbungu,4,6,9.65,-1.21,830,5594
Maibindiga,4,6,10.41,-0.56,830,6408
Mbolebi,4,6,9.52,-2.00,830,1100
Mishio,4,6,10.28,-1.00,830,2682
Mishuo,4,6,10.28,-1.00,830,2682
Mushio,4,6,10.28,-1.00,830,2682
Nabari,4,6,10.44,-0.88,830,2682
Naboggo,4,6,9.74,-0.82,830,5215
Nabogo,4,6,9.74,-0.82,830,5215
Nabugge,4,6,9.74,-0.82,830,5215
Nabuggo,4,6,9.74,-0.82,830,5215
Nagbo,4,6,10.47,-0.35,908,9404
Nagbog,4,6,10.47,-0.35,908,9404
Nakpandur,2,6,10.63,-0.18,1000,13880
Nakpandure,2,6,10.63,-0.18,1000,13880
Nakpanduri,2,6,10.63,-0.18,1000,13880
Nakundugu,4,6,10.11,-0.27,830,2235
Nakunduku,4,6,10.11,-0.27,830,2235
Nalerigu,2,6,10.53,-0.37,1066,20842
Nambari,4,6,10.44,-0.88,830,2682
Nambiri,4,6,9.89,0.32,393,3895
Nanbari,4,6,10.44,-0.88,830,2682
Nangruma,4,6,10.38,-1.48,830,2642
Nanguri,4,6,10.24,-1.57,830,2669
Nangurima,4,6,10.38,-1.48,830,2642
Nasia,4,6,10.16,-0.80,830,2929
Nasja,4,6,10.16,-0.80,830,2929
Natag,4,6,9.83,0.15,830,3990
Natago,4,6,9.83,0.15,830,3990
Nawiago,4,6,9.87,-0.27,830,2235
Nayuga,4,6,9.87,-0.27,830,2235
Nayugu,4,6,9.87,-0.27,830,2235
Old Zagbeli,4,6,9.95,0.16,830,4020
Ouapouli,4,6,9.74,0.10,830,3681
Patenga,4,6,9.77,-0.27,830,2235
Peo,4,6,9.78,0.32,403,3728
Piggu,4,6,9.98,-0.82,830,5215
Pigu,4,6,9.98,-0.82,830,5215
Pion,4,6,9.64,-0.07,830,2382
Piong,4,6,9.64,-0.07,830,2382
Pisigu,4,6,9.96,-0.64,830,2479
Pisoggo,4,6,9.96,-0.64,830,2479
Pisogo,4,6,9.96,-0.64,830,2479
Pong-Tamale,4,6,9.69,-0.83,830,5308
Potele,4,6,9.97,-0.03,830,2235
Pulo,4,6,9.98,-0.21,830,5529
Pung,4,6,9.69,-0.83,830,5308
Pung Tamale,4,6,9.69,-0.83,830,5308
Saboba,4,6,9.71,0.32,830,3782
Sakku,4,6,10.58,-0.27,1227,6583
Sakogu,4,6,10.58,-0.27,1227,6583
Sakpe,2,6,9.58,-0.27,830,14108
Sakpeigu,4,6,9.55,-0.03,830,4128
Sakpiegu,4,6,9.55,-0.03,830,4128
Sala,4,6,9.73,-1.68,1105,1043
Samayili,4,6,10.11,-0.27,830,2235
Samene,4,6,10.47,-0.62,997,5241
Sameni,4,6,10.47,-0.62,997,5241
Samoayile,4,6,10.11,-0.27,830,2235
Saveluga,4,6,9.62,-0.83,830,5880
Savelugu,4,6,9.62,-0.83,830,5880
Segbeli,4,6,9.95,0.16,830,4020
